Reference, Value, Footprint, Datasheet
"P1","Power","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08",""
"P2","Analog","Socket_Arduino_Uno:Socket_Strip_Arduino_1x06",""
"P5","CONN_01X01","Socket_Arduino_Uno:Arduino_1pin",""
"P6","CONN_01X01","Socket_Arduino_Uno:Arduino_1pin",""
"P7","CONN_01X01","Socket_Arduino_Uno:Arduino_1pin",""
"P8","CONN_01X01","Socket_Arduino_Uno:Arduino_1pin",""
"P4","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08",""
"P3","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x10",""
"U3","8255","Housings_DIP:DIP-40_W15.24mm",""
"U2","8251","Housings_DIP:DIP-28_W15.24mm_Socket",""
"J2","8251-CE","Pin_Headers:Pin_Header_Straight_2x08",""
"J3","PPI-CE","Pin_Headers:Pin_Header_Straight_2x08",""
"U1","74HC138","Housings_DIP:DIP-16_W7.62mm_Socket",""
"J1","SBC8080 BUS","Pin_Headers:Pin_Header_Angled_2x20",""
"J5","CON-A","Pin_Headers:Pin_Header_Straight_2x07_Pitch2.54mm",""
"J6","CON-B","Pin_Headers:Pin_Header_Straight_2x07_Pitch2.54mm",""
"J4","232C-CON","Pin_Headers:Pin_Header_Angled_1x06",""
"J7","OPM-CE","Pin_Headers:Pin_Header_Straight_2x08",""
"U4","74HC4060","Housings_DIP:DIP-16_W7.62mm_Socket",""
"Y1","4.9152MHz","Crystals:HC-49V",""
"R1","1M","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C2","22p","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"C1","22p","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"C3","0.1u","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"C4","0.1u","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"C5","0.1u","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"C6","0.1u","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
